1010::postcode::SE11RB,51.501054584x-0.0956229787909
1010::postcode::SE11RQ,51.5045628502x-0.0912691725591
1010::postcode::SE11RU,None
1010::postcode::wa102ag,None
1010::postcode::3660-436SãoPedrodoSul,None
1010::postcode::SO50 9AL,50.9708834452x-1.35456198834
1010::postcode::W6 9BL,51.4919743x-0.2390895
1010::postcode::GY11BQ,None
1010::postcode::BA16RA,51.3977324348x-2.34643697092
1010::postcode::KY5 9HF,56.1328184x-3.3022345
1010::postcode::1333BB,None
1010::postcode::W6 9DE,51.4899012x-0.2292158
1010::postcode::SW19 1SB,51.4197253x-0.1945349
1010::postcode::SW19 1SD,51.4192181x-0.1948857
1010::postcode::wa102dp,None
1010::postcode::5986AE,None
1010::postcode::LS185RF,53.8428264345x-1.63957246866
1010::postcode::LS16 5BJ,53.834256x-1.6041961
1010::postcode::LS185SE,None
1010::postcode::NW1 8UR,51.5421842x-0.1563218
1010::postcode::YO17HD,53.9616783336x-1.08496218847
1010::postcode::YO17HL,53.9616134152x-1.08234202581
1010::postcode::SO50 9FD,50.9705421x-1.3514763
1010::postcode::42100,None
"1010::postcode::SanJosé,CostaRica.",None
1010::postcode::wa102jb,53.4557363882x-2.74083147708
1010::postcode::M329RB,None
1010::postcode::91006USA,None
1010::postcode::M14 7WS,53.4497285x-2.2358492
1010::postcode::NW16HL,51.5238090308x-0.161777464777
1010::postcode::W6 9NH,51.4933295x-0.2407083
1010::postcode::SE12AA,51.50485207x-0.0786920085646
1010::postcode::SE12BA,None
1010::postcode::MK428AU,None
1010::postcode::NW16NW,51.5218483281x-0.161755516771
1010::postcode::HP18OSP,None
1010::postcode::NW1 9BS,None
1010::postcode::3031XJ,None
1010::postcode::100010,None
1010::postcode::LS64AR,None
1010::postcode::W6 9WA,None
1010::postcode::EC2N8SJ,None
1010::postcode::NE12 8ER,None
1010::postcode::100048,None
1010::postcode::SE12LP,51.5024922814x-0.0757221978251
1010::postcode::LE19BH,52.6318153141x-1.13936322615
1010::postcode::BN11 4RQ,50.8142545x-0.3880013
1010::postcode::CH659DB,None
1010::postcode::SE12NQ,None
1010::postcode::SA92GN,51.8009043133x-3.82047173396
1010::postcode::LL12 8Nu,53.0876089x-2.9676259
1010::postcode::NN6 6LE,52.3752674x-1.125467
1010::postcode::NN6 6LH,52.3758634x-1.1258225
1010::postcode::SE12QY,None
1010::postcode::30000Nîmes,None
1010::postcode::S601TD,53.4346904314x-1.35740238689
1010::postcode::AL52ES,None
1010::postcode::SE12SX,51.5061062038x-0.0871987289267
1010::postcode::SE12TF,None
1010::postcode::SE12TH,51.5042797823x-0.0827362813612
1010::postcode::69001,None
1010::postcode::69002,None
1010::postcode::69003,None
1010::postcode::69004,None
1010::postcode::69005,None
1010::postcode::NW1 9PE,None
1010::postcode::69007,None
1010::postcode::YO26 4XJ,53.9607683312x-1.096550373
1010::postcode::NW1 9PH,51.5418928325x-0.140095007097
1010::postcode::SE12TZ,None
1010::postcode::NW1 9PT,51.542451x-0.1413129
1010::postcode::CF5 5AL,51.4826406x-3.2318791
1010::postcode::CH2 3HX,53.1997144x-2.8709577
1010::postcode::CW12 1BN,53.1629812x-2.210925
1010::postcode::75600,None
1010::postcode::EC1R3DD,51.5236201522x-0.110279112912
1010::postcode::TW34DN,51.4752299685x-0.368957386678
1010::postcode::EC1R3GA,None
1010::postcode::GU22 0SH,51.2880246x-0.5720539
1010::postcode::DN379TZ,53.5857353847x-0.132161240878
1010::postcode::CF11 9EH,None
1010::postcode::NW17HS,None
1010::postcode::3032RD,None
1010::postcode::DL61ED,54.3456864659x-1.43279494614
1010::postcode::NG8 2AF,52.9532129x-1.2196871
1010::postcode::NW17JE,51.5350193259x-0.139322623078
1010::postcode::852,None
1010::postcode::S70 9FH,53.5517155x-1.4824491
1010::postcode::855,62.3688915x17.1627267
1010::postcode::856,62.4099509x17.3633244
1010::postcode::MK429AH,52.1332867308x-0.467968898739
1010::postcode::NW17LH,51.5354939x-0.1403707
1010::postcode::MK429AP,52.1327592833x-0.47028086222
1010::postcode::YO18SU,53.9583720844x-1.08160543954
1010::postcode::LL48 6BF,52.9290013x-4.0714299
1010::postcode::SE13ER,51.4998559702x-0.0844203691758
1010::postcode::BS158BD,51.4574010288x-2.51514108147
1010::postcode::891,None
1010::postcode::SE13FB,51.5002935751x-0.083134110715
1010::postcode::OX10 0AL,51.5991582x-1.1254644
1010::postcode::NW17NL,51.5369177122x-0.141653263003
1010::postcode::NW17NU,None
1010::postcode::E13 8SA,51.5197281x0.0336733
